feature,importance
EstimatedImpactScore,53.376144183027215
EstimatedRiskScore,12.638734203963502
EmotionalImpactLevel,5.214104792624169
PhysicalImpactLevel,3.4160151182083456
RecoveryTimeMonths,2.5417535179677215
DurationAffectedDays,2.41501653898531
VulnerabilityLevel,2.2536778677237024
AgeBand,1.4859250653235874
DirectFinancialLossGBP,1.4459891400799785
LostIncomeGBP,1.4128866210599786
ServiceArea,1.3276156013363418
DelayInResolutionDays,1.091144710066883
OrganisationType,1.0543409883189954
FailureTypePrimary,1.0469204297459256
Jurisdiction,0.9259340545261687
EvidenceStrength,0.8288011752680073
ComplaintCategory,0.8163047373003007
AdditionalCostsGBP,0.726450107878055
FailureTypeSecondary,0.6863432117191287
PrimaryVulnerability,0.5863983173639918
NumberOfServiceFailures,0.5302201939566649
CaseCreatedDayOfWeek,0.45139427167808727
CaseComplexityScore,0.4394954618195258
RepeatedFailurePattern,0.3885955810485168
CaseCreatedYear,0.37873182639173386
CaseCreatedMonth,0.37601886741007956
PriorComplaintsRaised,0.2835535687629875
SafeguardingConcern,0.2743954476401991
DeteriorationInHealth,0.2435543079428908
SleepDisruptionReported,0.20947884099233308
NumberOfDependentsAffected,0.19682661303268567
NumberOfOrganisationsInvolved,0.1744418940363148
CaseCreatedQuarter,0.1566843353781253
RepeatFailuresCount,0.14958939150588846
LongTermImpactFlag,0.13366617121145713
AnxietyReported,0.0832784854999483
DepressionReported,0.057156548522883904
MultipleComplaintThemes,0.05696220525950171
LegalChallengePotential,0.05119116332186004
ImpactOnRelationships,0.03912424510253994
AdditionalTreatmentRequired,0.03514019699847844
BereavedPerson,0.0
EscalatedInternally,0.0
