iter	MultiClass
0	1.667905499
1	1.557271957
2	1.452312479
3	1.386525879
4	1.328296239
5	1.267825875
6	1.212411876
7	1.17035909
8	1.119394945
9	1.085957236
10	1.057506033
11	1.025277484
12	1.003898188
13	0.9732144551
14	0.9492624868
15	0.9254639109
16	0.905320696
17	0.8872229353
18	0.8659536746
19	0.8458261484
20	0.8301573362
21	0.819132722
22	0.8053095846
23	0.7988777505
24	0.7941595109
25	0.777662992
26	0.7649582993
27	0.7543952456
28	0.7422472994
29	0.7377152047
30	0.7286291235
31	0.7213270264
32	0.7139955803
33	0.7056455882
34	0.6975504687
35	0.6916046327
36	0.6862446559
37	0.6788876664
38	0.6738641881
39	0.6687816212
40	0.662933483
41	0.6597120661
42	0.6554007798
43	0.6533126093
44	0.6497729219
45	0.6468594809
46	0.6427462399
47	0.6402457039
48	0.6368481866
49	0.6338650301
50	0.6271755861
51	0.6230663147
52	0.620528058
53	0.6181914352
54	0.6149167485
55	0.6117196792
56	0.6088601296
57	0.606076646
58	0.605936975
59	0.6022946502
60	0.6019003104
61	0.5991222976
62	0.5958509984
63	0.5929662457
64	0.589843651
65	0.588008216
66	0.5848755038
67	0.5802922095
68	0.5789086428
69	0.577236984
70	0.5769961101
71	0.5748989494
72	0.5730374564
73	0.570794252
74	0.5695838579
75	0.5683160148
76	0.5669778439
77	0.5646925359
78	0.5623474973
79	0.5616778699
80	0.5603654177
81	0.5586772294
82	0.5586590981
83	0.5582079958
84	0.5580292039
85	0.5567092993
86	0.5549558702
87	0.5549472697
88	0.5535165463
89	0.5523583064
90	0.5519463627
91	0.5499069929
92	0.5482404442
93	0.5473282971
94	0.5451093343
95	0.5431605015
96	0.5410245275
97	0.5387555456
98	0.5362159432
99	0.5339876227
100	0.5315006235
101	0.5296064686
102	0.5271102101
103	0.5260188579
104	0.5234709238
105	0.5201434337
106	0.5170083229
107	0.5147670446
108	0.5122321485
109	0.5109723387
110	0.5090907022
111	0.5077665181
112	0.5060621809
113	0.5043098132
114	0.5025532463
115	0.50193379
116	0.4998561613
117	0.4980418591
118	0.4967201054
119	0.4954268601
120	0.4933690119
121	0.4911344494
122	0.4886181808
123	0.4871122565
124	0.4848042088
125	0.4829159217
126	0.4815929233
127	0.4809874056
128	0.4796177038
129	0.4771426242
130	0.4753924134
131	0.4735786841
132	0.471645442
133	0.4703138663
134	0.4690702421
135	0.4673853722
136	0.465392183
137	0.4637077618
138	0.4631171372
139	0.4611544238
140	0.4602135637
141	0.4583950038
142	0.4567577663
143	0.4547743503
144	0.4532564811
145	0.4521993554
146	0.4516889758
147	0.4509659534
148	0.4498359833
149	0.4485743631
150	0.4469454719
151	0.4460995211
152	0.446060598
153	0.4456912436
154	0.4438776347
155	0.4429731027
156	0.4428473834
157	0.4423391679
158	0.4415496686
159	0.4401762068
160	0.4395279485
161	0.438258893
162	0.4372167425
163	0.4363975372
164	0.4351044387
165	0.4341710343
166	0.4331978918
167	0.4327583121
168	0.432632395
169	0.4322861235
170	0.4308465866
171	0.4307847081
172	0.429215911
173	0.4281382996
174	0.4272994285
175	0.4262461275
176	0.4261444708
177	0.4248668278
178	0.4240180779
179	0.4232388407
180	0.4217715611
181	0.4209546408
182	0.4202715277
183	0.4190791048
184	0.4190190608
185	0.4184250762
186	0.4180849893
187	0.4167282672
188	0.4157082131
189	0.4149461178
190	0.4142499635
191	0.4134016557
192	0.4121345009
193	0.4111338308
194	0.4102722019
195	0.4094001728
196	0.4084012189
197	0.4076585071
198	0.4062431053
199	0.4051010595
200	0.4032669141
201	0.4020332819
202	0.4009467497
203	0.3991522122
204	0.3981971589
205	0.3969564832
206	0.3967632041
207	0.3963408869
208	0.3956069766
209	0.3952022686
210	0.394377933
211	0.3934739666
212	0.3922751228
213	0.3921120918
214	0.3915139138
215	0.390805136
216	0.3899110155
217	0.3889843749
218	0.3883896527
219	0.3873357255
220	0.3866203877
221	0.3861457694
222	0.38533472
223	0.3844554055
224	0.3836996834
225	0.3836628006
226	0.3832653728
227	0.3822674253
228	0.3817218407
229	0.3804936687
230	0.3801100646
231	0.3800571169
232	0.3797194586
233	0.3787652015
234	0.3782522038
235	0.3772431735
236	0.3767844686
237	0.3757031072
238	0.3752954718
239	0.3750485994
240	0.3738027457
241	0.3728831143
242	0.3723656033
243	0.3719429451
244	0.3710282019
245	0.3702917157
246	0.3702682324
247	0.3694009789
248	0.3684319338
249	0.3671382985
250	0.3666488993
251	0.3662482218
252	0.3651757071
253	0.3645264933
254	0.3635607441
255	0.3629580818
256	0.3623615417
257	0.361639133
258	0.3603703505
259	0.3602164349
