iter	Passed	Remaining
0	209	54199
1	455	58729
2	732	62728
3	826	52869
4	1059	54049
5	1367	57909
6	1645	59455
7	2021	63680
8	2260	63048
9	2436	60902
10	2696	61046
11	2944	60854
12	3226	61301
13	3458	60779
14	3590	58648
15	3828	58387
16	4209	60170
17	4918	66124
18	5308	67334
19	5543	66524
20	5964	67880
21	6563	71003
22	6838	70470
23	7290	71694
24	7457	70097
25	7807	70265
26	8278	71440
27	9109	75482
28	10135	80730
29	10456	80166
30	11193	82683
31	11850	84438
32	12337	84866
33	12796	85056
34	13167	84651
35	13840	86115
36	14234	85792
37	14480	84597
38	14761	83646
39	15026	82647
40	15271	81571
41	15543	80676
42	15775	79610
43	16023	78659
44	16370	78213
45	16910	78672
46	17381	78772
47	17709	78217
48	17991	77473
49	18261	76696
50	19015	77926
51	19742	78970
52	20273	79180
53	21135	80626
54	21451	79955
55	21795	79396
56	22375	79688
57	22940	79895
58	23278	79305
59	23611	78704
60	23880	77904
61	24181	77224
62	24475	76534
63	24818	76007
64	25137	75412
65	25450	74807
66	25984	74850
67	26634	75203
68	28014	77548
69	28957	78598
70	29341	78105
71	29690	77524
72	30203	77369
73	30897	77661
74	31774	78376
75	32273	78136
76	32792	77935
77	33167	77390
78	33523	76807
79	33861	76187
80	34158	75485
81	34628	75170
82	34746	74097
83	35000	73334
84	35390	72862
85	35909	72653
86	36329	72242
87	36401	71148
88	36694	70503
89	37079	70039
90	37390	69438
91	37755	68945
92	38063	68351
93	38386	67788
94	38658	67144
95	38920	66489
96	39202	65876
97	39563	65400
98	40015	65075
99	40368	64589
100	40939	64449
101	41239	63881
102	41631	63457
103	42202	63303
104	42570	62842
105	42868	62281
106	43139	61685
107	43395	61075
108	43671	60499
109	44064	60088
110	44425	59634
111	44915	59352
112	45387	59044
113	45688	58512
114	45971	57964
115	46263	57430
116	46526	56866
117	46803	56322
118	47093	55800
119	47460	55370
120	47863	54983
121	48268	54598
122	48524	54047
123	48774	53494
124	49006	52927
125	49254	52381
126	49611	51954
127	49903	51462
128	50132	50909
129	50352	50352
130	50592	49819
131	50844	49304
132	51073	48769
133	51326	48262
134	51562	47743
135	51867	47290
136	52157	46827
137	52403	46328
138	52732	45903
139	53008	45436
140	53345	45021
141	53628	44564
142	53946	44138
143	54406	43827
144	54807	43468
145	55078	43006
146	55370	42563
147	55657	42118
148	55931	41667
149	57008	41806
150	57434	41459
151	57894	41135
152	58263	40746
153	58620	40349
154	58909	39906
155	59199	39466
156	59441	38996
157	59827	38622
158	60271	38285
159	60604	37877
160	60939	37472
161	61251	37053
162	61527	36614
163	61865	36214
164	62126	35769
165	62456	35366
166	62900	35028
167	63224	34622
168	63543	34215
169	63837	33796
170	64212	33420
171	64556	33028
172	64882	32628
173	65303	32276
174	65651	31887
175	65969	31485
176	66342	31109
177	66693	30723
178	67019	30327
179	67366	29940
180	67806	29595
181	68091	29182
182	68436	28795
183	68983	28493
184	69684	28250
185	70456	28031
186	70824	27648
187	71107	27232
188	71365	26809
189	71627	26389
190	71885	25969
191	72195	25569
192	72425	25142
193	72687	24728
194	72979	24326
195	73344	23949
196	73663	23557
197	73993	23169
198	74214	22749
199	74502	22350
200	74770	21947
201	75147	21577
202	75442	21183
203	75804	20808
204	76083	20412
205	76375	20020
206	76746	19649
207	77053	19263
208	77340	18872
209	77629	18483
210	77932	18098
211	78446	17761
212	78771	17381
213	79049	16991
214	79334	16604
215	79641	16223
216	80000	15852
217	80405	15490
218	80852	15136
219	81381	14796
220	81842	14442
221	82107	14054
222	82431	13677
223	82745	13298
224	83149	12934
225	83550	12569
226	83919	12199
227	84185	11815
228	84480	11436
229	84699	11047
230	84988	10669
231	85277	10292
232	85587	9917
233	85899	9544
234	86339	9185
235	86718	8818
236	86994	8442
237	87249	8065
238	87555	7693
239	87832	7319
240	88121	6947
241	88478	6581
242	88857	6216
243	89169	5847
244	89660	5489
245	89920	5117
246	90274	4751
247	90643	4385
248	90951	4017
249	91201	3648
250	91479	3280
251	92464	2935
252	94546	2615
253	96550	2280
254	97760	1916
255	98086	1532
256	98486	1149
257	99079	768
258	99639	384
259	100175	0
